"XCoord;YCoord;FID;NOMDIS;NOMBRE;COD_DIS;COD_DIS_TX;BARRIO_MAY;COD_DISBAR;COD_BAR;NUM_BAR;BARRIO_MT;COD_DISB;AREA_M2"
"441533,80216018;4465820,90698521;0;Villaverde;San Cristóbal;17;17;SAN CRISTOBAL;172;172;2;SAN CRISTOBAL;17-2;1082492,472180"
"442559,77792016;4465394,09562171;1;Villaverde;Butarque;17;17;BUTARQUE;173;173;3;BUTARQUE;17-3;6375521,776310"
"440632,53175426;4467482,21085579;2;Villaverde;Los Ángeles;17;17;LOS ANGELES;175;175;5;LOS ÁNGELES;17-5;1935271,490080"
"441536,59561202;4467464,76036366;3;Villaverde;Los Rosales;17;17;LOS ROSALES;174;174;4;LOS ROSALES;17-4;1540746,760950"
"439786,70513759;4465896,73636881;4;Villaverde;Villaverde Alto, Casco Histórico de Villaverde;17;17;VILLAVERDE ALTO, CASCO HISTORICO DE VILLAVERDE;171;171;1;VILLAVERDE ALTO, CASCO HISTÓRICO DE VILLAVERDE;17-1;9253553,841070"
"439516,26532630;4468916,31047134;5;Usera;Orcasitas;12;12;ORCASITAS;121;121;1;ORCASITAS;12-1;1356362,731800"
"448851,23218705;4468601,20661800;6;Villa de Vallecas;Ensanche de Vallecas;18;18;ENSANCHE DE VALLECAS;183;183;3;ENSANCHE DE VALLECAS;18-3;6341118,961890"
"436656,90116019;4468769,58769254;7;Carabanchel;Buenavista;11;11;BUENAVISTA;116;116;6;BUENAVISTA;11-6;5613180,402240"
"433434,57747962;4468973,50217678;8;Latina;Cuatro Vientos;10;10;CUATRO VIENTOS;106;106;6;CUATRO VIENTOS;10-6;5430118,611570"
"441499,98501113;4469120,88624530;9;Usera;San Fermín;12;12;SAN FERMIN;123;123;3;SAN FERMÍN;12-3;1475399,064080"
"447496,13341161;4466332,26696987;10;Villa de Vallecas;Casco Histórico de Vallecas;18;18;CASCO HISTORICO DE VALLECAS;181;181;1;CASCO HISTÓRICO DE VALLECAS;18-1;43045886,111000"
"440733,11929712;4469305,31949341;11;Usera;Orcasur;12;12;ORCASUR;122;122;2;ORCASUR;12-2;1387349,575180"
"439279,85758263;4470110,37565911;12;Usera;Zofío;12;12;ZOFIO;126;126;6;ZOFÍO;12-6;774025,536561"
"439974,46881383;4469968,65213172;13;Usera;Pradolongo;12;12;PRADOLONGO;127;127;7;PRADOLONGO;12-7;1095651,853640"
"438358,41981552;4470074,32943038;14;Carabanchel;Abrantes;11;11;ABRANTES;117;117;7;ABRANTES;11-7;1564570,608990"
"437262,27057023;4470159,47209463;15;Carabanchel;Puerta Bonita;11;11;PUERTA BONITA;115;115;5;PUERTA BONITA;11-5;1608625,387320"
"440645,96645079;4470576,40693834;16;Usera;Almendrales;12;12;ALMENDRALES;124;124;4;ALMENDRALES;12-4;780140,880060"
"448110,14315112;4470494,39190189;17;Villa de Vallecas;Santa Eugenia;18;18;SANTA EUGENIA;182;182;2;SANTA EUGENIA;18-2;2080233,338660"
"436700,71818020;4470681,20806402;18;Carabanchel;Vista Alegre;11;11;VISTA ALEGRE;114;114;4;VISTA ALEGRE;11-4;1589225,481850"
"442858,57242920;4469574,27762184;19;Puente de Vallecas;Entrevías;13;13;ENTREVIAS;131;131;1;ENTREVÍAS;13-1;5971941,776760"
"434547,93757838;4470420,12249477;20;Latina;Águilas;10;10;AGUILAS;107;107;7;ÁGUILAS;10-7;3609602,616630"
"445907,48595457;4470708,71584257;21;Puente de Vallecas;Palomeras Sureste;13;13;PALOMERAS SURESTE;134;134;4;PALOMERAS SURESTE;13-4;3108597,479950"
"444074,86940659;4470671,32957398;22;Puente de Vallecas;Palomeras Bajas;13;13;PALOMERAS BAJAS;133;133;3;PALOMERAS BAJAS;13-3;1723868,314050"
